model,b,delta,delta_sd,null_mean,excess,n_rep,time_s
dinov2_b,21,0.033712426799240885,0.00015878227380908383,0.0501182761964411,-0.01640584939720021,20,53.527743339538574
dinov2_b,22,0.03365345300379274,0.00021632870452675782,0.05009464998258829,-0.016441196978795557,20,60.11451554298401
dinov2_b,23,0.0338756468987615,0.0002291553972441953,0.05015227913782566,-0.016276632239064164,20,57.176859378814704
dinov2_b,24,0.03368860333690495,0.00011964131856835616,0.05010432107442825,-0.016415717737523296,20,56.852391004562385
dinov2_b,25,0.033827898554480186,0.00021832241832702562,0.050071230694690806,-0.016243332140210613,20,55.147401094436646
dinov2_b,26,0.033326384711014484,0.00020828824848651234,0.05013476763107757,-0.016808382920063092,20,58.229477167129524
dinov2_b,27,0.03386896265701538,0.0001807570270581304,0.05012556715198357,-0.016256604494968192,20,55.58249092102051
dinov2_b,28,0.033512327601335365,0.00015286014763973618,0.05012583555926022,-0.016613507957924857,20,56.60721373558045
dinov2_b,29,0.033604904230133334,0.00015702727561926392,0.050165427374358466,-0.016560523144225146,20,60.51949119567871
dinov2_g,-1,0.03264781036605507,0.0004987619777615,0.040692164625507364,-0.008044354259452291,20,105.50664353370668
dinov2_g,0,0.03271247545443397,0.00046976834231417014,0.04059701622205359,-0.007884540767619623,20,94.87065076828004
dinov2_g,1,0.031754975166555004,0.00041093010113605715,0.04061809680844521,-0.008863121641890216,20,100.90632724761964
dinov2_g,2,0.03215874983241615,0.0004319322365882745,0.04062027242495357,-0.008461522592537414,20,105.63836526870728
dinov2_g,3,0.03214831934805716,0.00037317326980390337,0.04060663486514595,-0.008458315517088791,20,92.08609795570374
dinov2_g,4,0.032621175012008015,0.000404006428835645,0.04065510730400397,-0.008033932291995949,20,87.52033042907715
dinov2_g,5,0.03201421282155113,0.000426400892370356,0.040562412918169234,-0.008548200096618108,20,92.7927885055542
dinov2_g,6,0.03244934036171464,0.0003361221713903696,0.04062526455578669,-0.008175924194072051,20,75.33769488334657
dinov2_g,7,0.03212015946686707,0.0003462287104440497,0.04063618142306583,-0.008516021956198758,20,55.65071678161621
dinov2_g,8,0.03228884966271641,0.0003829883498379993,0.04054667352135891,-0.008257823858642502,20,52.00252223014832
dinov2_g,9,0.03207797120210327,0.00045124088198570745,0.04056175161611191,-0.008483780414008643,20,47.07326865196228
dinov2_g,10,0.03261322741720786,0.0004513987918517088,0.04058620260701397,-0.007972975189806109,20,45.18136429786682
dinov2_g,11,0.032687183963337994,0.00039741455205127184,0.040576031360144815,-0.007888847396806814,20,38.37959837913513
dinov2_g,12,0.03231879665525249,0.0003798033616121228,0.04062951181629683,-0.00831071516104434,20,37.02447390556336
