model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_g,cifar100,20,aniso,10,-0.002875470876147715,0.0044925075031250015,0.008370911132243029,-0.0073679783792727155,-0.6816687323279781,0.06984616018097747,0.0024350977219956943,24.649400472640988
dinov2_g,cifar100,10,iso,10,-0.0015752058524217127,-0.016092398051355348,0.002391078391121921,0.014517192198933637,2.164259530548565,0.06984616018097747,0.0024350977219956943,22.5555739402771
dinov2_g,cifar100,10,aniso,10,-0.0015752058524217127,-0.0011329332765809125,0.003933090730254226,-0.0004422725758408005,-0.05977468884738419,0.06984616018097747,0.0024350977219956943,22.84737753868103
dinov2_g,cifar100,5,iso,10,-0.0003305544256301668,-0.008280517864316337,0.001568544690333802,0.00794996343868617,2.7417754209338354,0.06984616018097747,0.0024350977219956943,23.264308214187626
dinov2_g,cifar100,5,aniso,10,-0.0003305544256301668,0.0007368740616115089,0.0053043529796036005,-0.0010674284872416756,-0.18283857891558306,0.06984616018097747,0.0024350977219956943,23.21204137802124
clip_b,cifar100,20,iso,10,-0.024698666242382452,-0.044020473526881765,0.0029210660532547838,0.019321807284499302,1.7525616461685367,0.14103894015431093,0.002735440139050829,23.34727191925049
clip_b,cifar100,20,aniso,10,-0.024698666242382452,-0.0004532041814009624,0.005887673821428538,-0.02424546206098149,-1.995120226554519,0.14103894015431093,0.002735440139050829,22.816891193389893
clip_b,cifar100,10,iso,10,-0.015661988013683542,-0.05092688263560423,0.004538919217713055,0.03526489462192069,2.8618600098696443,0.14103894015431093,0.002735440139050829,24.13529324531555
clip_b,cifar100,10,aniso,10,-0.015661988013683542,-0.0012784116960438574,0.005513981087232889,-0.014383576317639684,-1.1313278186623903,0.14103894015431093,0.002735440139050829,24.38811683654785
clip_b,cifar100,5,iso,10,-0.0037592536412177358,-0.0305048970747854,0.0026904213761076053,0.02674564343356766,1.8685579889878008,0.14103894015431093,0.002735440139050829,24.264743089675907
clip_b,cifar100,5,aniso,10,-0.0037592536412177358,-0.0010913134544719874,0.0043915094835128106,-0.002667940186745749,-0.1811433620371232,0.14103894015431093,0.002735440139050829,23.980200052261356
clip_l,cifar100,20,iso,10,-0.012663192164706794,-0.04856817086546266,0.004699910277467525,0.03590497870075587,5.677978577142688,0.1406566097510245,0.0029642402482115892,21.158811569213867
clip_l,cifar100,20,aniso,10,-0.012663192164706794,0.00027214026169833925,0.0035482528366941025,-0.01293533242640513,-2.342672387635055,0.1406566097510245,0.0029642402482115892,18.390095472335812
clip_l,cifar100,10,iso,10,-0.0064164427952190795,-0.04907964283252498,0.0020540706974097305,0.042663200037305914,7.644680843207178,0.1406566097510245,0.0029642402482115892,17.871521949768066
clip_l,cifar100,10,aniso,10,-0.0064164427952190795,-0.002590276373383832,0.0035237719450119803,-0.0038261664218352475,-0.6100023526235495,0.1406566097510245,0.0029642402482115892,20.69392871856689
clip_l,cifar100,5,iso,10,-0.0009956376676813485,-0.02684753382986369,0.003516843679652456,0.025851896162182347,3.2815121720086236,0.1406566097510245,0.0029642402482115892,19.558693170547485
clip_l,cifar100,5,aniso,10,-0.0009956376676813485,-0.0008347582537010179,0.004074095271736208,-0.00016087941398033043,-0.01975898175056849,0.1406566097510245,0.0029642402482115892,18.691316127777103
siglip_b,cifar100,20,iso,10,-0.022771883689656214,-0.049490839021200085,0.00443767569728168,0.026718955331543868,2.7655647504668703,0.14569211362869644,0.0034716955748668693,20.948299169540405
siglip_b,cifar100,20,aniso,10,-0.022771883689656214,-0.0017030545676220835,0.004562035775907168,-0.02106882912203413,-2.1677866344870065,0.14569211362869644,0.0034716955748668693,23.53983521461487
siglip_b,cifar100,10,iso,10,-0.013208718183219365,-0.0544031972394044,0.003082962661682991,0.041194479056185035,4.094059161940417,0.14569211362869644,0.0034716955748668693,18.901183366775516
siglip_b,cifar100,10,aniso,10,-0.013208718183219365,-0.0008496585243889423,0.0032189613646867897,-0.012359059658830423,-1.2231228111200492,0.14569211362869644,0.0034716955748668693,18.49001121520996
siglip_b,cifar100,5,iso,10,0.0003332967258774522,-0.03126693989994436,0.004661223251821855,0.031600236625821815,3.2557014268776268,0.14569211362869644,0.0034716955748668693,19.73457884788513
siglip_b,cifar100,5,aniso,10,0.0003332967258774522,-0.00010824460636426612,0.002546169374971839,0.00044154133224171834,0.049688355634981515,0.14569211362869644,0.0034716955748668693,20.241015195846558
