epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
2,4250,14259,79.8,0.921875,0.2999,1e-05,1790107268.8473854
2,4300,14309,79.7,0.953125,0.212,1e-05,1790107436.3211524
2,4350,14359,79.7,0.9765625,0.1036,1e-05,1790107599.5491195
2,4400,14409,79.7,0.92578125,0.226,1e-05,1790107761.2053213
2,4450,14459,79.7,0.953125,0.3012,1e-05,1790107925.332206
2,4500,14509,79.7,0.94921875,0.1742,1e-05,1790108088.5999496
2,4550,14559,79.7,0.97265625,0.071,1e-05,1790108250.985822
2,4600,14609,79.7,0.9609375,0.1634,1e-05,1790108415.7100532
2,4650,14659,79.6,0.953125,0.2108,1e-05,1790108580.5195332
2,4700,14709,79.6,0.9296875,0.329,1e-05,1790108744.448683
2,4750,14759,79.6,0.984375,0.0651,1e-05,1790108906.9904084
2,4800,14809,79.6,0.91796875,0.3594,1e-05,1790109070.3393211
2,4850,14859,79.6,0.9453125,0.2546,1e-05,1790109234.3785677
2,4900,14909,79.6,0.96875,0.0994,1e-05,1790109389.7340672
2,4950,14959,79.8,0.9765625,0.083,1e-05,1790109508.4062746
2,5000,15009,80.2,0.97265625,0.0806,1e-05,1790109594.4395208
2,5003,15012,80.2,0.9765625,0.0784,1e-05,1790109599.5314286
3,0,15013,57.1,0.6015625,2.1469,1e-05,1790109619.126727
3,50,15063,65.5,0.98828125,0.0428,1e-05,1790109813.8932123
3,100,15113,72.5,0.97265625,0.1068,1e-05,1790109971.4816616
3,150,15163,76.3,0.984375,0.0372,1e-05,1790110120.9850514
3,200,15213,78.0,0.91015625,0.3942,1e-05,1790110274.5921974
3,250,15263,79.1,0.9375,0.2458,1e-05,1790110426.9879858
3,300,15313,79.3,0.984375,0.0591,1e-05,1790110585.7410936
3,350,15363,79.9,0.98828125,0.052,1e-05,1790110738.8234124
3,400,15413,80.6,0.9453125,0.2574,1e-05,1790110888.1159718
3,450,15463,81.0,0.9921875,0.0375,1e-05,1790111039.9874406
3,500,15513,80.7,0.9765625,0.1098,1e-05,1790111204.0115058
