level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier3,6,0.1,iso,1000,3,-0.11179995485220182,-0.10807888270687992,-0.0037210721453218992,-0.10526715279964097,39.81853008270264
hier3,6,0.1,iso,1000,4,-0.10886713763057129,-0.10378322009213041,-0.0050839175384408825,-0.15921868965872268,39.41072750091553
hier3,6,0.1,aniso,100,0,-0.09742395229207174,-0.11654469686460027,0.019120744572528534,0.6367621059143983,17.59489679336548
hier3,6,0.1,aniso,100,1,-0.11800263975545436,-0.11482028749369166,-0.0031823522617626943,-0.10073691088926402,17.398473262786865
hier3,6,0.1,aniso,100,2,-0.11933710426037501,-0.1135893661694662,-0.0057477380909088105,-0.165498628967805,17.774585008621216
hier3,6,0.1,aniso,100,3,-0.1141698232610924,-0.11581873357751153,0.0016489103164191304,0.05410875934839962,17.48696780204773
hier3,6,0.1,aniso,100,4,-0.09948400051856626,-0.11159420111380876,0.012110200595242496,0.3834292198250686,17.034510135650635
hier3,6,0.1,aniso,1000,0,-0.11127339850647139,-0.10560716739319508,-0.005666231113276313,-0.17240548746267706,45.307162046432495
hier3,6,0.1,aniso,1000,1,-0.11363141007249875,-0.10593743200757984,-0.007693978064918908,-0.2331442689202636,46.45932912826538
hier3,6,0.1,aniso,1000,2,-0.11366366253601251,-0.10551503883078762,-0.008148623705224886,-0.22387965351771644,48.181734561920166
hier3,6,0.1,aniso,1000,3,-0.1129721400577048,-0.10807619047698254,-0.004895949580722259,-0.1383206715746095,49.03780913352966
hier3,6,0.1,aniso,1000,4,-0.10888365767727966,-0.10378783381720813,-0.005095823860071527,-0.15766338994632953,44.522162675857544
hier3,6,0.3,iso,100,0,-0.09674949224864443,-0.10769864464509428,0.010949152396449849,0.42175619113798174,11.107548713684082
hier3,6,0.3,iso,100,1,-0.10525810452338019,-0.10544890977943784,0.00019080525605764953,0.006470881652444087,11.163145065307617
hier3,6,0.3,iso,100,2,-0.11060965745103263,-0.10348425856703276,-0.007125398883999864,-0.21845981221877242,10.9592604637146
hier3,6,0.3,iso,100,3,-0.09923942088626708,-0.10678418003442262,0.0075447591481555415,0.2459089474863813,10.952062845230103
hier3,6,0.3,iso,100,4,-0.09219206698143205,-0.10148884037604333,0.009296773394611282,0.3053473007444069,11.189903497695923
hier3,6,0.3,iso,1000,0,-0.1008195367412184,-0.09545577250751903,-0.0053637642336993585,-0.18101925580480624,40.61544179916382
hier3,6,0.3,iso,1000,1,-0.10259537328253937,-0.096279869267473,-0.006315504015066364,-0.21582484726256787,40.193140268325806
hier3,6,0.3,iso,1000,2,-0.10433622862093118,-0.09546051749697516,-0.00887571112395602,-0.27638689031821745,30.33278799057007
hier3,6,0.3,iso,1000,3,-0.10233750739969531,-0.09775418905582599,-0.004583318343869325,-0.14592413758947073,26.799319744110107
hier3,6,0.3,iso,1000,4,-0.09956477203662123,-0.09345908705177501,-0.006105684984846219,-0.2097688876817056,28.800284147262573
hier3,6,0.3,aniso,100,0,-0.08729591284039646,-0.10601383635625879,0.018717923515862323,0.7351641557382288,17.183218002319336
hier3,6,0.3,aniso,100,1,-0.0916074000786346,-0.10522213869138004,0.013614738612745439,0.4626063504051838,17.66002345085144
hier3,6,0.3,aniso,100,2,-0.09418421258248724,-0.10328217455154615,0.009097961969058904,0.28023409329507454,17.307414054870605
hier3,6,0.3,aniso,100,3,-0.09497757809940333,-0.10666048666443732,0.011682908565033998,0.41397303019990034,15.450332164764404
hier3,6,0.3,aniso,100,4,-0.09389471230151493,-0.1022812993445849,0.008386587043069965,0.2968592491634783,14.636486768722534
hier3,6,0.3,aniso,1000,0,-0.08516694256420869,-0.09549205641135144,0.010325113847142756,0.33519855218515315,43.874796628952026
hier3,6,0.3,aniso,1000,1,-0.08937416150087854,-0.09613938756300895,0.006765226062130411,0.23922916182273624,44.490105390548706
hier3,6,0.3,aniso,1000,2,-0.08396050392526937,-0.09549834973136027,0.011537845806090907,0.3843592342580585,44.90177345275879
hier3,6,0.3,aniso,1000,3,-0.08283937850307765,-0.09782302109313963,0.014983642590061977,0.47696233028073987,45.1015625
hier3,6,0.3,aniso,1000,4,-0.08222864977816387,-0.09330085262154027,0.0110722028433764,0.3808653505376275,49.14193868637085
hier3,6,0.6,iso,100,0,-0.07781568828213112,-0.08347519730309945,0.005659509020968331,0.27237948390215805,12.73169732093811
hier3,6,0.6,iso,100,1,-0.08733593791770781,-0.08243449517021288,-0.004901442747494933,-0.20718936101136826,13.890594244003296
hier3,6,0.6,iso,100,2,-0.08432214518419838,-0.07999602424465307,-0.004326120939545305,-0.1766323983797443,20.010326862335205
hier3,6,0.6,iso,100,3,-0.08270031455466109,-0.0833530729150218,0.0006527583603607029,0.02624936459610241,18.239870309829712
hier3,6,0.6,iso,100,4,-0.07920446279769404,-0.07826085956827743,-0.0009436032294166119,-0.03939895686012799,21.90804886817932
hier3,6,0.6,iso,1000,0,-0.07724079588137107,-0.0713710270043623,-0.005869768877008769,-0.2424289225733943,50.38741683959961
