clip_l    C= 100 random   s3 | delta 0.1091 exc -0.0554 | NC 92.20->92.30 (+0.10pp, n=5000) | 2s
clip_l    C= 100 random   s4 | delta 0.1265 exc -0.0395 | NC 91.80->92.04 (+0.24pp, n=5000) | 2s
clip_l    C= 100 coherent s0 | delta 0.1136 exc -0.0511 | NC 83.30->83.06 (-0.24pp, n=5000) | 2s
clip_l    C= 100 coherent s1 | delta 0.1454 exc -0.0265 | NC 89.88->89.64 (-0.24pp, n=5000) | 2s
clip_l    C= 100 coherent s2 | delta 0.1439 exc -0.0492 | NC 67.04->66.76 (-0.28pp, n=5000) | 2s
clip_l    C= 100 coherent s3 | delta 0.1122 exc -0.0400 | NC 81.68->81.28 (-0.40pp, n=5000) | 2s
clip_l    C= 100 coherent s4 | delta 0.1352 exc -0.0341 | NC 83.26->82.86 (-0.40pp, n=5000) | 2s
clip_l    C= 200 random   s0 | delta 0.1071 exc -0.0432 | NC 87.11->87.12 (+0.01pp, n=10000) | 3s
clip_l    C= 200 random   s1 | delta 0.1129 exc -0.0408 | NC 86.84->87.05 (+0.21pp, n=10000) | 3s
clip_l    C= 200 random   s2 | delta 0.1150 exc -0.0350 | NC 88.91->88.84 (-0.07pp, n=10000) | 3s
clip_l    C= 200 random   s3 | delta 0.1128 exc -0.0388 | NC 88.92->88.49 (-0.43pp, n=10000) | 3s
clip_l    C= 200 random   s4 | delta 0.1195 exc -0.0346 | NC 89.26->89.55 (+0.29pp, n=10000) | 3s
clip_l    C= 200 coherent s0 | delta 0.1128 exc -0.0345 | NC 78.33->77.96 (-0.37pp, n=10000) | 3s
clip_l    C= 200 coherent s1 | delta 0.1311 exc -0.0215 | NC 80.89->80.63 (-0.26pp, n=10000) | 3s
clip_l    C= 200 coherent s2 | delta 0.1343 exc -0.0196 | NC 72.98->72.69 (-0.29pp, n=10000) | 3s
clip_l    C= 200 coherent s3 | delta 0.1096 exc -0.0360 | NC 79.12->78.75 (-0.37pp, n=10000) | 3s
clip_l    C= 200 coherent s4 | delta 0.1318 exc -0.0158 | NC 72.21->71.76 (-0.45pp, n=10000) | 3s
clip_l    C= 500 random   s0 | delta 0.1127 exc -0.0313 | NC 80.50->80.18 (-0.31pp, n=25000) | 3s
clip_l    C= 500 random   s1 | delta 0.1125 exc -0.0303 | NC 81.28->81.05 (-0.24pp, n=25000) | 3s
clip_l    C= 500 coherent s0 | delta 0.1048 exc -0.0266 | NC 74.80->74.34 (-0.46pp, n=25000) | 3s
clip_l    C= 500 coherent s1 | delta 0.1241 exc -0.0281 | NC 78.04->77.67 (-0.37pp, n=25000) | 4s
clip_l    C=1000 random   s0 | delta 0.1123 exc -0.0225 | NC 75.05->74.52 (-0.53pp, n=50000) | 7s
Done
